,Afrikaans,Albanian,Amharic,Arabic,Armenian,Azerbaijani,Basque,Belarusian,Bengali,Bulgarian,Catalan,Cebuano,Chinese,Croatian,Czech,Danish,Dutch,English,Esperanto,Estonian,Finnish,French,Galician,Georgian,German,Greek,Gujarati,Haitian,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Javanese,Kannada,Kazakh,Khmer,Kirghiz,Kurdish (Kurmanji),Latin,Latvian,Lithuanian,Luxembourgish,Macedonian,Malagasy,Malay,Malayalam,Maltese,Marathi,Mongolian,Nepali,Norwegian (Bokmål),Pashto,Persian,Polish,Portuguese,Romanian,Russian,Scottish Gaelic,Serbian,Sindhi,Slovak,Slovenian,Somali,Spanish,Sundanese,Swahili,Swedish,Tajik,Tamil,Telugu,Thai,Turkish,Ukrainian,Urdu,Uzbek,Welsh,Yiddish,Yoruba
Catalan,0.338063357,0.455232595,0.199391369,0.259174947,0.182755219,0.093193922,0.118628175,0.327759064,0.14675049,0.478833877,1,-0.248691782,0.184937614,0.316849817,0.422549484,0.334912452,0.333883623,0.323221166,0.35852225,0.203978777,0.302025836,0.234890766,0.525356593,0.015381734,0.460724001,0.225833691,0.421892586,-0.002432736,0.355433519,0.326110187,0.243347733,0.191554078,0.308640797,0.535876252,0.369744566,0.026595134,0.114125307,0.197532611,0.353861113,0.051932805,-0.022186948,0.376829712,0.289227853,0.532292358,0.318773265,0.368434941,0.114217099,0.212606177,0.110733264,0.33861245,0.128328252,0.059712428,0.160173051,0.403627221,0.035025425,-0.047821057,0.034705712,0.531511224,0.372513963,0.172537792,0.179323687,0.130607335,-0.01556516,0.404252439,0.350173893,0.024492295,0.474457976,0.031471597,0.340573525,0.391172817,0.132731821,0.008425453,0.15925062,0.514766095,0.008310114,0.427361966,0.258677354,-0.068833747,0.231604153,-0.099623013,0.053898607
Cebuano,-0.140385496,-0.222939588,-0.01541106,-0.27163515,-0.182625591,-0.144478117,0.203812679,-0.039202082,-0.278340491,-0.16523372,-0.248691782,1,0.059947299,0.423529412,-0.244773358,-0.10297121,-0.128337959,-0.081637373,-0.429186783,-0.069440028,-0.159985198,-0.138714793,0.035771556,-0.184038486,-0.247354727,-0.143794629,-0.246515679,-0.068360355,-0.037599773,-0.123230264,-0.141045489,0.044693706,0.02348297,-0.220494746,-0.300433513,-0.293358135,-0.092753623,-0.458187035,-0.232811759,-0.300812106,0.010630499,-0.006303845,-0.332110148,-0.224490425,-0.297655454,-0.041765481,0.019216556,-0.186522498,-0.043205575,0.011628346,-0.029659644,0.184474774,0.124814998,-0.088922294,-0.217112299,-0.0315197,-0.091091307,-0.221162186,-0.132926829,-0.149960358,0.122874494,-0.09739253,-0.077205882,-0.163784301,-0.330198279,-0.100333704,-0.256514634,0.335084266,0.206160137,-0.273714075,-0.223581848,-0.145128272,0.097406275,-0.046086957,-0.099834481,-0.292392612,-0.086032389,0.122558407,-0.069772359,0.119241956,0.258121258
Chinese,0.2602118,0.239073803,0.221832846,-0.051725814,0.340018293,0.17078277,-0.010853639,0.360633709,0.112659756,0.283745837,0.184937614,0.059947299,1,0.075384615,0.132069036,0.486559548,0.200511049,0.492147026,0.185774455,0.503121977,0.432137668,0.27192195,0.133442145,0.292078118,0.233539839,0.346641187,0.155439877,-0.043542158,0.14599694,0.194781053,0.574213244,0.305881576,0.555063085,0.263688614,0.498063913,-0.052630916,0.238414217,0.325748307,0.223593144,0.0531136,-0.063529412,0.20654642,0.432877513,0.454983117,0.202913299,0.205624467,0.279905545,0.100731563,0.337252357,0.115749283,-0.060072406,0.146995439,0.314565936,0.547980156,-0.023950737,0.236952639,0.068921004,0.234273849,0.279837144,0.266583205,0.25817028,0.01766302,-0.03997114,0.371528725,0.168415007,0.092268789,0.172252099,0.095679625,-0.088270796,0.436739041,0.225454494,0.0992729,0.241297558,0.507960826,0.243755725,0.27401674,0.242747534,0.173833308,0.197600429,0.088165828,-0.000152823
Croatian,0.061050061,-0.130769231,0.103508772,-0.366357069,0.26984127,0.095379296,0.42,0.109589044,-0.424901186,0.141180999,0.316849817,0.423529412,0.075384615,1,0.18,0.442002442,-0.019148573,0.231990232,0.082417582,0.230769231,0.446837607,-0.208116949,0.286935287,0.088904087,-0.122051282,-0.086555108,-0.065666451,0.180519481,-0.120769231,-0.263404999,0.126837607,0.177435897,0.227996115,-0.007863248,0.2783738,-0.07518797,0.04,0.066153846,0.297058824,-0.021428571,0.114551084,0.260248232,-0.053076923,0.022905983,-0.249350649,-0.193846154,0.461350041,-0.176623377,0.079616036,0.132411067,-0.087826087,0.09552464,0.003459353,0.20957265,-0.371215481,-0.407826087,-0.263125763,0.003462204,-0.036153846,-0.020388537,0.135064935,0.027826087,-0.254901961,0.196923077,0.042307692,-0.197802198,-0.098000306,0.531578947,0.202710333,0.383247863,-0.104635509,-0.020779221,0.114624506,0.626373626,0.026956522,-0.152846643,-0.033314512,0.012991232,-0.180854701,-0.104743083,0.284848485
Czech,0.261251869,0.276584803,-0.011320425,0.087579789,0.180177086,0.094860099,0.14750672,0.483841724,0.171247454,0.527859599,0.422549484,-0.244773358,0.132069036,0.18,1,0.238942176,0.399803265,0.336742177,0.274818739,0.22686115,0.343092169,0.241454008,0.355690501,0.157459109,0.403581838,0.265201763,0.323831064,0.16727549,0.355334977,0.32445845,0.37783433,0.349434484,0.297609162,0.398326509,0.393927742,0.102448672,0.176402545,0.237436928,0.239507491,0.323208606,0.020722464,0.301043155,0.387933522,0.474876361,0.199299116,0.142630042,-0.120980719,0.055898568,0.036865181,0.193497544,0.195496316,0.06051601,-0.187665821,0.132790603,0.118709241,0.05870054,0.364075632,0.445609285,0.461294925,0.57453451,0.077631909,0.186793592,0.075120901,0.587864768,0.248082562,0.061127127,0.391626176,-0.25887272,0.171325746,0.304105815,0.051694652,0.223483546,0.177817826,0.397329978,0.126842509,0.555401649,0.205268177,-0.182022816,0.203230688,-0.013033147,0.052406926
Danish,0.399308807,0.310635117,0.218506341,0.103974406,0.239073439,0.267986959,0.260825112,0.433487264,0.034943284,0.49474607,0.334912452,-0.10297121,0.486559548,0.442002442,0.238942176,1,0.372699819,0.615149316,0.228232053,0.388272602,0.62617687,0.298816702,0.189007923,0.203844124,0.257390435,0.290941169,0.247903267,0.114565966,0.239490352,0.158759666,0.36781246,0.324218003,0.484734704,0.369959826,0.626736999,0.03791339,0.388863695,0.363411549,0.407014201,0.185468961,-0.005926702,0.242848606,0.574278728,0.425055358,0.279772892,0.418672256,0.325500106,0.095134655,0.233839855,0.132831554,-0.041723629,0.036844569,0.138783379,0.670399314,-0.006887164,0.04998449,0.082052971,0.385556272,0.443372155,0.366696753,0.332453256,0.083268864,0.043435462,0.36177001,0.13743093,-0.225396092,0.30045099,0.097882166,0.108124449,0.542561339,0.152000516,0.124418147,0.095152146,0.624607159,0.192663728,0.438505769,0.323740619,0.017911382,0.286164083,-0.123252325,0.250858149
Dutch,0.368202422,0.146942415,0.027046114,0.092055467,0.041014475,0.141592211,0.127511193,0.396676901,0.113593427,0.431581001,0.333883623,-0.128337959,0.200511049,-0.019148573,0.399803265,0.372699819,1,0.496652853,0.377872856,0.345660793,0.447266514,0.409555021,0.265209915,0.130739766,0.404236748,0.27703898,0.232206587,0.083498895,0.332440669,0.174706452,0.331614973,0.461780028,0.226355618,0.323267916,0.419622671,0.127954761,0.101987266,0.043801936,0.489609641,0.078621107,-0.075091959,0.258744786,0.381902305,0.409084954,0.33645939,0.228542747,-0.087940061,0.094072667,0.060379447,0.372537355,0.07308113,0.321126438,-0.15107215,0.393052726,-0.158794124,0.084990755,0.304447143,0.451358167,0.402419983,0.398111196,0.073329594,0.260601725,-0.001607271,0.437211973,0.181701706,-0.283500536,0.413761339,-0.135042297,0.111613569,0.351627487,-0.102906272,0.13399875,-0.038667733,0.560477373,0.232276289,0.555556974,0.281458742,-0.039050964,0.36530605,-0.000995913,0.152568561
English,0.402968304,0.376445281,0.443585809,0.18150735,0.350215299,0.354970702,0.256437605,0.506841239,0.145732845,0.371992047,0.323221166,-0.081637373,0.492147026,0.231990232,0.336742177,0.615149316,0.496652853,1,0.247044878,0.625136817,0.71013235,0.432807124,0.277813209,0.286749121,0.170052172,0.407861889,0.356683549,0.123324255,0.167425361,0.384958068,0.555866618,0.482335347,0.512368301,0.403249691,0.62916142,0.011752851,0.37156587,0.356437749,0.382349129,0.050939789,0.10075188,0.054313422,0.536942955,0.425802303,0.220986378,0.442914648,0.077996303,0.042287225,0.319345296,0.206769033,0.170021742,0.294552806,0.153896458,0.602945615,0.027294778,0.403835029,0.246442724,0.472689987,0.383251514,0.410089554,0.236541046,0.186057993,-0.001222562,0.457591334,0.263617868,-0.14786846,0.338710579,0.004183779,0.194218246,0.528814793,0.171693955,0.274721545,0.209021977,0.69811403,0.32408598,0.442156621,0.370942861,0.079916019,0.404179541,-0.000655609,0.287621765
Esperanto,0.374945646,0.277690262,0.159624521,0.20404327,0.182317367,0.123018203,0.20160602,0.325910219,0.015362004,0.437265861,0.35852225,-0.429186783,0.185774455,0.082417582,0.274818739,0.228232053,0.377872856,0.247044878,1,0.236033342,0.248865438,0.24713087,0.304333577,0.039946061,0.321688454,0.204474234,0.091992774,-0.010243147,0.190779904,0.199921507,0.23678602,0.108752603,0.131226254,0.197836355,0.294270553,-0.038580189,-0.063161354,0.166770731,0.307428654,0.085083042,0.156552565,0.232393315,0.249450928,0.382683844,0.362721277,0.095840811,-0.093729738,0.442282012,-0.056776429,0.227561161,0.000604678,0.165756603,0.007121423,0.464594527,-0.03223245,-0.05329007,0.227560408,0.162954626,0.517420808,0.342540012,0.066678668,0.123375377,0.032864951,0.418109471,0.235219394,0.212631979,0.214016659,-0.277100816,0.143072958,0.387355769,0.113877788,0.058273368,-0.081294015,0.258312668,0.102309624,0.40496001,0.380544747,0.018224278,0.212614474,-0.073936967,0.268619252
Estonian,0.26755609,0.301648253,0.278268281,0.080014027,0.379542182,0.425873145,0.126657619,0.487249256,0.131617239,0.308821956,0.203978777,-0.069440028,0.503121977,0.230769231,0.22686115,0.388272602,0.345660793,0.625136817,0.236033342,1,0.520250145,0.444798175,0.221015763,0.310665097,0.144092352,0.382085445,0.290432924,-0.074190366,0.123161985,0.24856388,0.540305306,0.513296676,0.558906112,0.330562049,0.539311169,-0.057300203,0.311881158,0.274149217,0.434315988,0.12164614,0.117564193,0.017379032,0.399993925,0.309129349,0.209296019,0.41241163,0.123120889,0.172909655,0.334156008,0.178081832,0.101096407,0.305172059,0.043480543,0.460825338,-0.031331231,0.427188681,0.235925082,0.395527248,0.226590435,0.445939476,-0.089671891,0.296590861,0.012027624,0.462156534,0.183292333,0.151608893,0.221399342,0.231568514,0.038868268,0.317185349,0.162324852,0.278672971,0.316319504,0.612075511,0.32002351,0.452082722,0.35468804,0.066196272,0.40743695,0.006312631,0.102413906
Finnish,0.41190691,0.184327841,0.220990554,0.007188989,0.303516022,0.327481117,0.153261016,0.457134345,0.031545691,0.475920511,0.302025836,-0.159985198,0.432137668,0.446837607,0.343092169,0.62617687,0.447266514,0.71013235,0.248865438,0.520250145,1,0.387232729,0.192655314,0.245572821,0.2163089,0.390987872,0.249567864,0.007800518,0.119259878,0.06339511,0.569293311,0.438764548,0.342382966,0.42763009,0.671242202,0.095676213,0.260724566,0.28476992,0.454721012,0.064570104,0.063863242,0.122500001,0.578308984,0.36916248,0.129396279,0.293525311,0.061644494,-0.059102981,0.290495393,0.192224821,0.098325315,0.140825462,0.119991962,0.551414293,-0.048588787,0.283239853,0.251871669,0.355450944,0.473116149,0.486327238,0.20826942,0.078683699,-0.031930602,0.393412555,0.083182591,-0.031918359,0.272849768,-0.035490876,0.002438543,0.568937862,0.118747473,0.260839382,0.02865669,0.742436325,0.390680101,0.416871767,0.409225748,0.077451784,0.296192048,-0.095326551,0.278918576
French,0.135580799,0.31617443,0.105481194,0.300772974,0.23508378,0.144682949,0.181016569,0.288232564,0.192010383,0.245649094,0.234890766,-0.138714793,0.27192195,-0.208116949,0.241454008,0.298816702,0.409555021,0.432807124,0.24713087,0.444798175,0.387232729,1,0.380005351,0.204252662,0.21077933,0.348723223,0.26442571,-0.099335136,0.269020242,0.34603396,0.380558638,0.368538079,0.287428166,0.403365562,0.373641397,0.070735922,0.233431486,0.135014867,0.022455601,0.194388854,-0.114215897,0.279139232,0.213224564,0.253924085,0.41346007,0.242597589,-0.024945711,0.048113928,0.370464228,0.153130862,0.16310255,0.120986454,0.079069869,0.269463952,0.109549751,0.266987326,0.352478613,0.489714964,0.253443694,0.360608509,-0.023321611,0.345245675,-0.072009669,0.376155231,0.074185542,0.01963368,0.386634727,-0.028899753,-0.028718444,0.134060284,0.017314922,0.235704787,0.250833282,0.485856542,0.25219333,0.350452388,0.200330194,-0.041170871,0.234456406,0.0872828,0.318709878
Galician,0.283220191,0.315071505,0.195567941,0.204243257,0.119919545,0.194308951,0.139560359,0.421827159,0.258139722,0.293907253,0.525356593,0.035771556,0.133442145,0.286935287,0.355690501,0.189007923,0.265209915,0.277813209,0.304333577,0.221015763,0.192655314,0.380005351,1,0.095313573,0.302743611,0.230171572,0.254950808,0.052620445,0.351902257,0.274245969,0.247326384,0.19480006,0.308755321,0.426147788,0.140069002,-0.149185341,0.117540379,0.149419618,0.083232048,0.110933231,0.123580087,0.306034397,0.257273656,0.465895544,0.373872363,0.140893866,-0.105610983,0.095263072,0.269454552,0.409002476,0.269707574,0.101610706,0.117059184,0.284835034,0.100590333,0.045711438,0.061615246,0.451969482,0.246526877,0.255525807,0.046876688,0.296594386,0.006195389,0.439056826,0.149908281,0.111235841,0.431716643,-0.180630733,0.115959053,0.049775815,-0.009350121,0.256765231,0.31023418,0.450126318,0.090980332,0.31434851,0.049732558,0.249151934,0.344090329,0.131233115,-0.055789412
Georgian,0.012384356,0.124642506,0.039082355,0.11563766,0.296240736,0.336513667,0.090460436,0.214311388,0.271634484,-0.024380772,0.015381734,-0.184038486,0.292078118,0.088904087,0.157459109,0.203844124,0.130739766,0.286749121,0.039946061,0.310665097,0.245572821,0.204252662,0.095313573,1,-0.064532868,0.252340301,0.054979445,-0.084283126,0.113500816,0.286238001,0.309731588,0.349850774,0.210241056,0.127221683,0.268533956,0.147758776,0.230747697,0.281662177,0.127284207,0.140695954,-0.039323046,0.096716527,0.149791663,0.079495816,0.131319279,0.132278346,-0.104077364,-0.099903043,0.458994953,0.121984272,0.018742951,0.377669404,0.012195655,0.041724074,0.076850776,0.166798683,0.215687233,0.180282474,0.112182507,0.277195908,0.130522923,0.112636047,0.118081307,0.343576826,0.043698143,0.139817278,-0.006335941,0.180438535,-0.313290391,0.174032002,0.270373358,0.387527996,0.299450108,0.177784032,0.360379387,0.142635189,0.143778749,0.297475817,0.314861048,0.26895666,-0.01872373
German,0.383293995,0.230485342,0.121136232,0.133692225,0.065323252,0.110291549,0.013031602,0.268392962,0.075026026,0.478729009,0.460724001,-0.247354727,0.233539839,-0.122051282,0.403581838,0.257390435,0.404236748,0.170052172,0.321688454,0.144092352,0.2163089,0.21077933,0.302743611,-0.064532868,1,0.31152939,0.063719694,0.013018228,0.238199441,0.08620984,0.07634629,0.092390634,0.179953306,0.308598687,0.235665439,-0.037909547,-0.023774146,0.157660277,0.243173163,0.15081141,0.15346874,0.256143368,0.288836991,0.555379594,0.516626278,0.134921893,0.080514686,0.310289168,-0.07506102,0.083355934,-0.057324599,0.077135302,-0.05943903,0.352852091,0.004904725,0.005868741,0.08849595,0.384238346,0.33489162,0.217741821,-0.090945095,0.033955073,0.009431058,0.411440519,0.252472803,-0.049843876,0.408539185,-0.209448181,0.159353227,0.401618341,-0.05268741,-0.060080655,-0.065521317,0.138772205,-0.091927251,0.424096673,0.15805094,-0.101111633,0.117574517,-0.025418542,0.01439282
Greek,0.249884828,0.270782426,0.301242474,0.174924244,0.140517499,0.066806543,-0.025422949,0.37301298,0.117019229,0.411078166,0.225833691,-0.143794629,0.346641187,-0.086555108,0.265201763,0.290941169,0.27703898,0.407861889,0.204474234,0.382085445,0.390987872,0.348723223,0.230171572,0.252340301,0.31152939,1,0.39590661,-0.089549943,0.204812359,0.20216663,0.39784631,0.423704347,0.198193454,0.100775876,0.373128717,-0.123773654,0.134972932,0.161321193,0.3014811,-0.034960288,0.343916944,0.094317848,0.338974934,0.375428103,0.239735436,0.190726772,0.181305089,0.227224098,0.294785096,0.142812774,-0.119029635,-0.015589829,0.290701817,0.387712164,0.129932496,0.348469232,0.267542874,0.350394831,0.460153549,0.336870691,0.108539626,0.166561713,0.110149007,0.332159068,0.149128003,0.067206958,0.223064041,-0.031440425,0.144729433,0.408152664,0.128850123,0.171124117,0.142142109,0.320022269,0.132459879,0.443812973,0.23553439,0.073267621,0.285032652,-0.089854817,0.293946809
