languages,paths,trans,,,,,trans,,
Estonian,cc.eo.300.vec,Esperanto.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.eo.300.vec.gz,cc.eo.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Finnish,cc.fi.300.vec,Finnish.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.fi.300.vec.gz,cc.fi.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
French,cc.fr.300.vec,French.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.fr.300.vec.gz,cc.fr.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
German,cc.de.300.vec,German.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.de.300.vec.gz,cc.de.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Greek,cc.el.300.vec,Greek.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.el.300.vec.gz,cc.el.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Hebrew,cc.he.300.vec,Hebrew.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.he.300.vec.gz,cc.he.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Hindi,cc.hi.300.vec,Hindi.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.hi.300.vec.gz,cc.hi.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Hungarian,cc.hu.300.vec,Hungarian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.hu.300.vec.gz,cc.hu.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Indonesian,cc.id.300.vec,Indonesian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.id.300.vec.gz,cc.id.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Italian,cc.it.300.vec,Italian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.it.300.vec.gz,cc.it.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Japanese,cc.ja.300.vec,Japanese.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.ja.300.vec.gz,cc.ja.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Latvian,cc.lv.300.vec,Latvian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.lv.300.vec.gz,cc.lv.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Lithuanian,cc.lt.300.vec,Lithuanian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.lt.300.vec.gz,cc.lt.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Norwegian (Bokmål),cc.no.300.vec,Norwegian (Bokmål).csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.no.300.vec.gz,cc.no.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Persian,cc.fa.300.vec,Persian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.fa.300.vec.gz,cc.fa.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Polish,cc.pl.300.vec,Polish.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.pl.300.vec.gz,cc.pl.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Portuguese,cc.pt.300.vec,Portuguese.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.pt.300.vec.gz,cc.pt.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Romanian,cc.ro.300.vec,Romanian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.ro.300.vec.gz,cc.ro.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Russian,cc.ru.300.vec,Russian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.ru.300.vec.gz,cc.ru.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Serbian,cc.sr.300.vec,Serbian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.sr.300.vec.gz,cc.sr.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Slovak,cc.sk.300.vec,Slovak.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.sk.300.vec.gz,cc.sk.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Slovenian,cc.sl.300.vec,Slovenian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.sl.300.vec.gz,cc.sl.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Spanish,cc.es.300.vec,Spanish.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.es.300.vec.gz,cc.es.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Swedish,cc.sv.300.vec,Swedish.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.sv.300.vec.gz,cc.sv.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Thai,cc.th.300.vec,Thai.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.th.300.vec.gz,cc.th.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Turkish,cc.tr.300.vec,Turkish.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.tr.300.vec.gz,cc.tr.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Ukrainian,cc.uk.300.vec,Ukrainian.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.uk.300.vec.gz,cc.uk.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
Urdu,cc.ur.300.vec,Urdu.csv,,,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/cc.ur.300.vec.gz,cc.ur.300.vec.gz,,wget https://dl.fbaipublicfiles.com/fasttext/vectors-crawl/
