,Arabic,Azerbaijani,Bengali,Bulgarian,Catalan,Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Greek,Hebrew,Hindi,Hungarian,Indonesian,Italian,Japanese,Latvian,Lithuanian,Norwegian (Bokmål),Persian,Polish,Portuguese,Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Urdu
Hebrew,0.15686349300000002,-0.082773656,0.222273214,0.281123138,0.355433519,0.14599694,-0.12076923099999999,0.35533497700000005,0.239490352,0.33244066899999997,0.167425361,0.123161985,0.11925987800000001,0.26902024199999997,0.238199441,0.20481235899999997,1.0,0.19944532899999998,0.280561892,0.345387117,0.292841672,0.199650053,0.203380919,0.285711287,0.150080813,-0.015843035,0.188222206,0.346816244,0.252173528,0.22345348,0.033447542999999996,0.36984715799999995,0.203203291,0.227038145,0.082229055,0.397368266,0.203674842,0.461180589,0.071602284
Hindi,0.442834981,0.212278107,0.336908618,0.227873,0.326110187,0.194781053,-0.263404999,0.32445845,0.158759666,0.17470645199999998,0.384958068,0.24856388,0.06339511,0.34603396,0.08620984,0.20216663,0.19944532899999998,1.0,0.372513063,0.265717055,0.207026192,0.271361144,0.11744741300000001,0.150342122,0.186309113,0.23493710399999998,0.35351229100000003,0.371940385,0.145959164,0.18514039300000001,0.267322261,0.198520767,0.217987837,0.26467779999999996,0.151105853,0.256146222,0.264652103,0.36432116200000003,0.27631363600000003
Hungarian,-0.084952804,0.118975026,0.25378579100000004,0.364515456,0.243347733,0.574213244,0.126837607,0.37783433,0.36781246,0.33161497300000004,0.5558666179999999,0.540305306,0.569293311,0.38055863799999995,0.07634629,0.39784631,0.280561892,0.372513063,1.0,0.459421953,0.384528004,0.636581764,0.40646285299999996,0.337674097,0.47826443799999996,0.164959171,0.395946475,0.32117090600000003,0.240848952,0.49671913799999995,0.109254536,0.36206336,0.10039641,0.22787884600000002,0.311790282,0.639523431,0.41994819200000005,0.410477004,0.327547813
Indonesian,-0.068503189,0.33317688,0.298418081,0.35854931799999995,0.30864079699999997,0.555063085,0.227996115,0.297609162,0.48473470399999996,0.226355618,0.512368301,0.5589061120000001,0.342382966,0.28742816600000004,0.179953306,0.198193454,0.345387117,0.265717055,0.459421953,1.0,0.289919685,0.581820158,0.369261789,0.320242788,0.44297444799999997,0.259655453,0.07005019900000001,0.42769204299999997,0.22520969100000002,0.31408739399999996,0.23570639899999998,0.41941407299999994,0.261370271,0.297216045,0.27077528300000003,0.612959401,0.342636701,0.326323622,0.10015152599999999
Italian,0.200713013,0.246556556,0.324248191,0.416815514,0.535876252,0.263688614,-0.007863248,0.398326509,0.369959826,0.323267916,0.403249691,0.33056204899999997,0.42763009,0.403365562,0.308598687,0.100775876,0.292841672,0.207026192,0.384528004,0.289919685,1.0,0.389971545,0.27827557199999997,0.34291381,0.306435415,0.063023686,0.27312347800000003,0.5607612829999999,0.35037815899999997,0.383736326,0.117159636,0.444591046,0.076970492,0.587837596,0.19731237,0.500398706,0.13507352,0.48061457399999996,0.359192174
Japanese,0.09024390199999999,0.379718714,0.24340467899999998,0.44652607899999996,0.369744566,0.49806391299999997,0.2783738,0.393927742,0.626736999,0.419622671,0.62916142,0.539311169,0.6712422020000001,0.37364139700000004,0.23566543899999998,0.37312871700000005,0.199650053,0.271361144,0.636581764,0.581820158,0.389971545,1.0,0.47185221200000005,0.48363213299999996,0.495326485,0.381809888,0.316081709,0.398193817,0.41433405100000004,0.399977129,0.25141503600000004,0.35805716299999996,0.106597093,0.293089554,0.48541854799999995,0.7274255159999999,0.5739230820000001,0.456793921,0.35064467299999996
Latvian,0.022557122000000002,0.25985138,0.125410302,0.447099342,0.28922785300000003,0.432877513,-0.053076923,0.38793352200000003,0.574278728,0.381902305,0.536942955,0.399993925,0.578308984,0.21322456399999998,0.288836991,0.338974934,0.203380919,0.11744741300000001,0.40646285299999996,0.369261789,0.27827557199999997,0.47185221200000005,1.0,0.45819032299999995,0.486422576,0.21631743399999998,0.077128944,0.36493919399999997,0.426391831,0.487722805,0.129930344,0.347494805,0.275420906,0.351769155,0.4160942,0.442532517,0.22471478600000003,0.556017338,0.386918225
Lithuanian,-0.028580612999999998,0.177104585,0.048765978,0.607153078,0.532292358,0.45498311700000005,0.022905982999999998,0.474876361,0.425055358,0.409084954,0.425802303,0.309129349,0.36916248,0.253924085,0.555379594,0.37542810299999996,0.285711287,0.150342122,0.337674097,0.320242788,0.34291381,0.48363213299999996,0.45819032299999995,1.0,0.567451564,0.10979392699999999,0.24841930899999998,0.389694198,0.37916318600000004,0.43772990799999995,0.284012776,0.674001498,0.374339884,0.36072668399999996,0.420443234,0.488784355,0.16887795600000002,0.527068914,0.279143856
Norwegian (Bokmål),0.071920758,0.223357892,0.061744379,0.506947928,0.40362722100000004,0.547980156,0.20957265,0.132790603,0.670399314,0.393052726,0.602945615,0.460825338,0.551414293,0.269463952,0.35285209100000003,0.38771216399999997,0.150080813,0.186309113,0.47826443799999996,0.44297444799999997,0.306435415,0.495326485,0.486422576,0.567451564,1.0,0.1280564,0.073458838,0.19977805899999998,0.47744495,0.37632496299999996,0.120517611,0.500435989,0.306895732,0.19353106,0.597738022,0.542096782,0.19785805199999998,0.4310813,0.42269939100000004
Persian,0.338761331,0.171415,0.35163909200000004,0.053208056,-0.047821057,0.236952639,-0.407826087,0.05870054,0.04998449,0.084990755,0.403835029,0.427188681,0.283239853,0.266987326,0.005868740999999999,0.348469232,-0.015843035,0.23493710399999998,0.164959171,0.259655453,0.063023686,0.381809888,0.21631743399999998,0.10979392699999999,0.1280564,1.0,0.117171649,0.195211107,0.15593305699999999,0.188021301,0.194989574,0.059787934,0.15168056800000002,0.127231945,0.006019600999999999,0.155092062,0.19128842100000001,0.136370496,-0.041292246
Polish,0.061019624,0.085637191,0.01928124,0.305995718,0.034705712,0.06892100400000001,-0.263125763,0.36407563200000004,0.082052971,0.30444714300000003,0.24644272399999997,0.23592508199999998,0.25187166899999996,0.352478613,0.08849595,0.267542874,0.188222206,0.35351229100000003,0.395946475,0.07005019900000001,0.27312347800000003,0.316081709,0.077128944,0.24841930899999998,0.073458838,0.117171649,1.0,0.13595696599999998,0.230786519,0.435507231,0.19784343100000001,0.211703997,0.021556412,0.085535445,0.119836684,0.182524485,0.26317810199999997,0.317446671,0.187327085
Portuguese,0.338681396,0.30905848399999997,0.422484484,0.313744685,0.531511224,0.23427384899999998,0.0034622040000000004,0.445609285,0.38555627200000003,0.45135816700000003,0.47268998700000003,0.395527248,0.355450944,0.489714964,0.384238346,0.350394831,0.346816244,0.371940385,0.32117090600000003,0.42769204299999997,0.5607612829999999,0.398193817,0.36493919399999997,0.389694198,0.19977805899999998,0.195211107,0.13595696599999998,1.0,0.390588891,0.35201833200000004,0.330008612,0.36922950299999996,0.246396118,0.782911516,0.144980811,0.40892063799999995,0.130115591,0.535238663,0.26338690600000003
Romanian,0.11050580800000001,0.183333439,0.04154185,0.483012793,0.37251396299999995,0.279837144,-0.036153846,0.461294925,0.443372155,0.402419983,0.38325151399999996,0.226590435,0.473116149,0.253443694,0.33489162,0.460153549,0.252173528,0.145959164,0.240848952,0.22520969100000002,0.35037815899999997,0.41433405100000004,0.426391831,0.37916318600000004,0.47744495,0.15593305699999999,0.230786519,0.390588891,1.0,0.453795557,0.027258972000000003,0.471429582,0.153712139,0.39631284200000005,0.44358064799999997,0.34491437399999997,0.08163767599999999,0.49936241600000003,0.355614827
Russian,-0.088687226,0.20997729999999998,0.08357907,0.500076188,0.172537792,0.266583205,-0.020388536999999998,0.57453451,0.366696753,0.398111196,0.41008955399999997,0.445939476,0.486327238,0.36060850899999997,0.217741821,0.336870691,0.22345348,0.18514039300000001,0.49671913799999995,0.31408739399999996,0.383736326,0.399977129,0.487722805,0.43772990799999995,0.37632496299999996,0.188021301,0.435507231,0.35201833200000004,0.453795557,1.0,0.403270155,0.597503359,0.1695037,0.268016808,0.209636485,0.323632131,0.223391273,0.620710952,0.42312561299999996
Serbian,0.04543834099999999,0.286122102,0.165473146,0.226506542,0.130607335,0.01766302,0.027826087000000003,0.18679359199999998,0.083268864,0.260601725,0.186057993,0.29659086100000004,0.07868369900000001,0.345245675,0.033955072999999995,0.166561713,0.033447542999999996,0.267322261,0.109254536,0.23570639899999998,0.117159636,0.25141503600000004,0.129930344,0.284012776,0.120517611,0.194989574,0.19784343100000001,0.330008612,0.027258972000000003,0.403270155,1.0,0.28252675899999996,0.215683992,0.257054672,-0.023456723,0.32948679,0.19177506,0.421344746,0.11833416
Slovak,0.09671614199999999,0.305904826,0.084386783,0.579083793,0.40425243899999996,0.371528725,0.196923077,0.587864768,0.36177001,0.437211973,0.45759133399999996,0.462156534,0.393412555,0.37615523100000003,0.411440519,0.332159068,0.36984715799999995,0.198520767,0.36206336,0.41941407299999994,0.444591046,0.35805716299999996,0.347494805,0.674001498,0.500435989,0.059787934,0.211703997,0.36922950299999996,0.471429582,0.597503359,0.28252675899999996,1.0,0.346077962,0.303004241,0.42794059799999995,0.428665419,0.121801387,0.5923626670000001,0.267258002
Slovenian,0.13677609,0.22536529600000002,0.225857024,0.193078623,0.35017389299999996,0.168415007,0.042307692,0.24808256199999998,0.13743093,0.18170170600000002,0.26361786800000003,0.183292333,0.083182591,0.07418554200000001,0.252472803,0.149128003,0.203203291,0.217987837,0.10039641,0.261370271,0.076970492,0.106597093,0.275420906,0.374339884,0.306895732,0.15168056800000002,0.021556412,0.246396118,0.153712139,0.1695037,0.215683992,0.346077962,1.0,0.115130389,0.19359468800000001,0.122880713,0.11704004400000001,0.261214131,0.12918159099999998
Spanish,0.27136427399999996,0.19357380100000002,0.354756239,0.243597553,0.474457976,0.172252099,-0.098000306,0.391626176,0.30045099,0.413761339,0.338710579,0.221399342,0.272849768,0.386634727,0.408539185,0.22306404100000002,0.227038145,0.26467779999999996,0.22787884600000002,0.297216045,0.587837596,0.293089554,0.351769155,0.36072668399999996,0.19353106,0.127231945,0.085535445,0.782911516,0.39631284200000005,0.268016808,0.257054672,0.303004241,0.115130389,1.0,0.17181758800000002,0.32197926600000004,-0.031445411,0.429748563,0.311825073
Swedish,0.07948812599999999,0.30126916800000003,-0.039051627,0.481620356,0.391172817,0.436739041,0.38324786299999997,0.304105815,0.542561339,0.351627487,0.528814793,0.317185349,0.5689378620000001,0.134060284,0.401618341,0.408152664,0.082229055,0.151105853,0.311790282,0.27077528300000003,0.19731237,0.48541854799999995,0.4160942,0.420443234,0.597738022,0.006019600999999999,0.119836684,0.144980811,0.44358064799999997,0.209636485,-0.023456723,0.42794059799999995,0.19359468800000001,0.17181758800000002,1.0,0.487077256,0.13255910099999998,0.419112111,0.246370287
Thai,0.113560784,0.205453468,0.038961038999999996,0.420983995,0.514766095,0.507960826,0.626373626,0.397329978,0.624607159,0.560477373,0.69811403,0.612075511,0.742436325,0.485856542,0.138772205,0.32002226899999997,0.397368266,0.256146222,0.639523431,0.612959401,0.500398706,0.7274255159999999,0.442532517,0.488784355,0.542096782,0.155092062,0.182524485,0.40892063799999995,0.34491437399999997,0.323632131,0.32948679,0.428665419,0.122880713,0.32197926600000004,0.487077256,1.0,0.571465346,0.568439816,0.539533582
Turkish,0.001093737,0.280599695,0.177171205,0.031653181,0.008310114,0.243755725,0.026956522000000004,0.126842509,0.192663728,0.232276289,0.32408598,0.32002351,0.390680101,0.25219333,-0.091927251,0.132459879,0.203674842,0.264652103,0.41994819200000005,0.342636701,0.13507352,0.5739230820000001,0.22471478600000003,0.16887795600000002,0.19785805199999998,0.19128842100000001,0.26317810199999997,0.130115591,0.08163767599999999,0.223391273,0.19177506,0.121801387,0.11704004400000001,-0.031445411,0.13255910099999998,0.571465346,1.0,0.22041457399999997,0.207059082
Ukrainian,0.176927191,0.26123507100000004,0.11441568199999999,0.613640506,0.42736196600000004,0.27401674,-0.152846643,0.555401649,0.438505769,0.555556974,0.442156621,0.45208272200000005,0.416871767,0.35045238799999995,0.424096673,0.44381297299999994,0.461180589,0.36432116200000003,0.410477004,0.326323622,0.48061457399999996,0.456793921,0.556017338,0.527068914,0.4310813,0.136370496,0.317446671,0.535238663,0.49936241600000003,0.620710952,0.421344746,0.5923626670000001,0.261214131,0.429748563,0.419112111,0.568439816,0.22041457399999997,1.0,0.399636074
Urdu,0.33513760800000003,0.224675994,0.152958153,0.268437353,0.25867735399999997,0.242747534,-0.033314512000000004,0.205268177,0.323740619,0.281458742,0.370942861,0.35468804,0.40922574799999994,0.200330194,0.15805094,0.23553439,0.071602284,0.27631363600000003,0.327547813,0.10015152599999999,0.359192174,0.35064467299999996,0.386918225,0.279143856,0.42269939100000004,-0.041292246,0.187327085,0.26338690600000003,0.355614827,0.42312561299999996,0.11833416,0.267258002,0.12918159099999998,0.311825073,0.246370287,0.539533582,0.207059082,0.399636074,1.0
