cate,Swedish,Arabic,Norwegian (Bokmål),Romanian,German,Indonesian,French,Russian,Italian,Greek,Finnish,Spanish,Chinese,Polish,English,Czech,Hungarian,Thai,Dutch,Catalan,Mean,Medium,,
19 dissimilarity,-0.007323504,0.013272432,-0.053103995,-0.000383553,0.29137924,-0.031311244,-0.04498891,0.00394204,-0.025449455,0.022247063,-0.07953734,-0.018406816,0.043357816,0.031857457,-0.020916877,-0.000767353,-0.011887651,-0.030100454,-0.029263964,-0.047512885,0.000255102,-0.015147234,,
20 imitation,-0.015538293,-0.002083351,-0.051366784,-0.024580015,0.2711748,-0.032790624,-0.044956375,-0.008057072,-0.039930377,-0.009181927,-0.06165259,-0.031851575,0.047734246,0.002607842,-0.02631611,-0.010150687,-0.03000995,-0.029931325,-0.042695604,-0.06365207,-0.010161392,-0.028123718,,
21 non-imitation,-0.026401857,-0.002318409,-0.06473084,-0.03508593,0.3312264,-0.057159543,-0.05856191,-0.023663715,-0.06299408,-0.030558616,-0.093910284,-0.058222946,-0.000717983,0.001646725,-0.02479947,-0.007869414,-0.030718317,-0.076119125,-0.056450546,-0.08053326,-0.022897156,-0.032902124,,
22 variation,-0.03562166,0.005533274,-0.045099974,-0.000475471,0.26591638,-0.034971524,-0.06676397,-0.005587322,-0.07579461,-0.006402111,-0.07441971,-0.05294941,0.016029673,0.010728561,-0.04697109,-0.017679676,-0.026743911,-0.0488528,-0.03939041,-0.07388147,-0.017669862,-0.035296592,,
23 copy,-0.01315375,-0.012531334,-0.06391617,-0.021280898,0.2535051,-0.037269376,-0.06128853,-0.015813211,-0.04987386,-0.018301379,-0.07542785,-0.042212937,0.040673256,0.014141673,-0.03698042,-0.008042631,-0.034578707,-0.035052788,-0.054222338,-0.071219064,-0.017142261,-0.034815748,,
24 prototype,-0.01396325,-0.021130897,-0.06736396,-0.021443745,0.30625626,-0.047757827,-0.05119446,-0.029261593,-0.054627612,-0.006371668,-0.08654377,-0.04528132,0.04937245,-0.000851633,-0.05410697,-0.022171795,-0.036928315,-0.039246768,-0.060872205,-0.06902158,-0.018625533,-0.038087542,,
25 agreement,-0.017678259,-0.004987012,-0.052034035,-0.000284784,0.28549424,-0.032143716,-0.052739702,-0.000819614,-0.05887525,-0.011260297,-0.06746092,-0.037178308,0.04944858,0.013212124,-0.030095242,-0.014420965,-0.037344627,-0.04153653,-0.038396116,-0.053417858,-0.010125915,-0.031119479,,
26 disagreement,-0.007380198,-0.000613678,-0.036136713,0.021445576,0.30860227,-0.011980811,-0.04783475,-0.001827219,-0.030290741,0.006205022,-0.058569256,-0.01632963,0.05529616,0.023305338,-0.006781314,0.001265373,-0.02032023,-0.028947227,-0.024056353,-0.022897532,0.005107704,-0.009680505,,
27 quantity,-0.032195352,0.003774498,-0.055158727,0.002370586,0.2879675,-0.05623169,-0.062895805,-0.007727245,-0.056670353,0.015508778,-0.060315397,-0.031032685,0.049018484,0.004577232,-0.045836747,-0.023746058,-0.034443848,-0.03337587,-0.043885056,-0.058624092,-0.011946092,-0.032785611,,
28 degree,-0.018533595,-0.006954701,-0.05586707,-0.009047546,0.3228917,-0.037986048,-0.06125326,-0.016369153,-0.052889287,0.006971286,-0.07286691,-0.038853705,0.045586903,0.003839472,-0.03630867,-0.023576116,-0.036199126,-0.034542367,-0.054319948,-0.06833028,-0.012230421,-0.035370747,,
29 equality,-0.002835899,-0.006107351,-0.041967276,0.013126894,0.28600204,-0.014860897,-0.044805754,0.000771727,-0.049910773,-0.005656011,-0.058642007,-0.030349392,0.05022234,0.007567607,-0.029565692,0.006232268,-0.024480356,-0.001382574,-0.030230215,-0.055493902,-0.001618261,-0.010484124,,
30 inequality,0.003020211,0.006246875,-0.039398693,0.019791134,0.29494697,-0.023886357,-0.05002645,0.001322243,-0.039763503,0.018923674,-0.063151695,-0.003191478,0.048160493,0.018563405,-0.011570864,0.001514107,-0.02778107,-0.007267346,-0.01714641,-0.037721325,0.004579196,-0.005229412,,
31 mean,-0.032422315,-0.010092325,-0.057005454,-0.002879234,0.30860803,-0.027951112,-0.06007025,0.006499092,-0.053187583,-0.008101385,-0.081782065,-0.019016221,0.06335543,-0.001204911,-0.035370417,-0.012418257,-0.034221895,-0.018720346,-0.060109194,-0.03763343,-0.008686192,-0.023483667,,
32 compensation,-0.003168837,-0.016709134,-0.038151212,0.005373974,0.31677148,-0.021680221,-0.04203252,0.006931939,-0.034479834,0.001067076,-0.034023657,-0.013068733,0.075985245,0.006331401,-0.019191198,-0.000272641,-0.029800704,-0.026614157,-0.014064341,-0.03972212,0.00397409,-0.015386738,,
33 greatness,-0.00817332,0.006547713,-0.04627454,-0.006690911,0.31867832,-0.020155437,-0.037472554,0.01602651,-0.019782025,0.01361525,-0.047780823,-0.009635349,0.07117378,0.016366342,-0.002998384,0.010327502,-0.008873046,-0.021371027,-0.023172125,-0.041861344,0.007924727,-0.008523183,,
34 smallness,-0.018952852,0.006038193,-0.058938872,0.006086565,0.2967669,-0.03171323,-0.046106294,0.005566158,-0.03980316,0.016222944,-0.04877913,-0.024459897,0.072466254,0.009819549,-0.027493916,-0.006571098,-0.030929988,-0.016507741,-0.0393272,-0.048286036,-0.001245143,-0.021706375,,
35 superiority,-0.002645669,0.015752098,-0.04704147,-0.002529382,0.30945107,-0.023331484,-0.041090097,0.01427809,-0.034474023,0.006286972,-0.04926073,-0.014069191,0.06322926,0.015869958,-0.004641352,0.014770879,-0.01449834,-0.025807654,-0.019976346,-0.04226816,0.005900221,-0.009355272,,
36 inferiority,-0.01746838,0.0122141,-0.04306041,0.010389407,0.26979905,-0.021634316,-0.03190605,0.003829362,-0.014627466,0.026559902,-0.061051406,-0.00020319,0.101719916,0.02700081,-0.019510327,-0.00177736,-0.019019287,-0.02561817,-0.02602367,-0.020631744,0.007449039,-0.016047923,,
37 increase,-0.006170536,0.006420383,-0.036677904,0.005553655,0.27885324,-0.03667046,-0.041386306,0.010490173,-0.04952356,-0.009152011,-0.051564787,-0.03368121,0.043777686,0.005723407,-0.02167979,-0.005101062,-0.030550858,-0.061510213,-0.027001826,-0.043948397,-0.005190019,-0.024340808,,
38 decrease,-0.016185263,-0.013925658,-0.043327715,-0.00365133,0.28390777,-0.03660732,-0.055819456,0.006525433,-0.055374462,-0.004082209,-0.059587773,-0.030108329,0.042860933,0.017040623,-0.037272375,-0.010878592,-0.03563383,-0.028285269,-0.031245826,-0.06865129,-0.009015097,-0.029196799,,
39 addition,-0.008392497,-0.010596091,-0.046260465,-0.001444918,0.29435125,-0.031228194,-0.039747983,0.008358754,-0.06364923,0.001553831,-0.049046014,-0.031453162,0.07545292,0.015104373,-0.024998799,-0.003215084,-0.033170216,-0.043189462,-0.019914761,-0.05118765,-0.00313367,-0.02245678,,
40 subtraction,-0.018270694,0.007828356,-0.052346986,-0.000980796,0.27008718,-0.0445531,-0.042035144,0.017210115,-0.043433644,-0.010804089,-0.057587113,-0.015735941,0.04725744,0.02058932,-0.034766503,-0.002752606,-0.047147274,-0.017312547,-0.021825777,-0.037203763,-0.004189178,-0.017791621,,
41 adjunct,0.001771787,-0.006068843,-0.058130834,-0.012660483,0.26912144,-0.044524524,-0.050289374,-0.014437148,-0.05937169,0.004369393,-0.07426088,-0.025038289,0.04056365,-0.001836479,-0.035767533,-0.009715107,-0.040590167,-0.0453205,-0.03826852,-0.06092921,-0.013069166,-0.030402911,,
42 remainder,-0.008135501,0.00907135,-0.04869628,-0.009162538,0.2857718,-0.023771223,-0.05181905,0.002182837,-0.03716327,0.016076574,-0.046967912,-0.02391193,0.05840879,0.005654872,-0.025683908,0.005068139,-0.027568879,-0.01960281,-0.025377147,-0.047865927,-0.000674601,-0.021687017,,
43 decrement,-0.015062869,-0.005937666,-0.031004446,-0.01719153,0.26154244,-0.09553391,-0.059723005,-0.033167157,-0.06072545,-0.016501835,-0.047462173,-0.05962252,0.04865701,-0.008559836,-0.06441781,-0.015432767,-0.05519553,-0.05848366,-0.04810866,-0.06908026,-0.022550582,-0.040314665,,
44 mixture,-0.013440224,0.019722205,-0.05096346,0.006422868,0.2681513,-0.024213232,-0.041160405,0.015034802,-0.03389324,0.004498558,-0.04789406,-0.016941102,0.04417129,0.01562311,-0.024809489,-0.008142781,-0.034975342,-0.020271681,-0.02529725,-0.04544644,-0.000691229,-0.018606392,,
45 simpleness,-0.028921746,-0.018567063,-0.05739089,0.003697974,0.2759926,-0.04188161,-0.055726588,0.000857786,-0.0580854,0.000995803,-0.08409871,-0.031044729,0.05026729,0.000101173,-0.027887821,-0.006656504,-0.038480505,-0.021725114,-0.021159723,-0.054000247,-0.010685701,-0.024806468,,
46 junction,-0.010680769,0.001843134,-0.049147096,0.011643001,0.24296185,-0.02869441,-0.04152503,0.007406091,-0.04793502,0.002112331,-0.043269046,-0.027443059,0.05878703,0.006461977,-0.03371617,-0.017687365,-0.04090908,-0.026134837,-0.024836048,-0.053918034,-0.005734028,-0.025485443,,
47 disjunction,-0.02011716,-0.000273,-0.056610953,0.001900485,0.26000208,-0.022989089,-0.04760244,0.012759389,-0.040821355,-0.000440588,-0.05181887,-0.023691418,0.054636493,0.008776955,-0.025336869,-0.002985622,-0.037609745,-0.028078502,-0.028863337,-0.045542274,-0.004735291,-0.023340254,,
48 connection,-0.02306812,-0.002041619,-0.06013867,-0.00770975,0.25583318,-0.042356867,-0.051711485,-0.006939539,-0.05427218,-0.010551647,-0.045301687,-0.03610748,0.069484934,-0.012328818,-0.047742557,-0.02881119,-0.048499852,-0.023568872,-0.048947945,-0.06829254,-0.014653635,-0.032459335,,
49 coherence,-0.02475733,-0.008986671,-0.057815637,-0.019285914,0.26253057,-0.027179232,-0.06783768,0.001450139,-0.05929086,-0.003060062,-0.052540567,-0.037845276,0.023830434,-0.001807253,-0.033845834,-0.019022495,-0.05163209,-0.036754634,-0.026568476,-0.07190197,-0.015616042,-0.026873854,,
50 incoherence,-0.018836578,-0.006377843,-0.06515564,0.014740044,0.28570563,-0.022757048,-0.049189843,0.002674885,-0.056830753,-0.003201369,-0.062312674,-0.02394553,0.06928751,0.010688131,-0.02664968,-0.004844712,-0.040688593,-0.012866741,-0.030896798,-0.03720266,-0.003933013,-0.020796813,,
51 combination,-0.009444879,0.009286328,-0.050151512,0.0113454,0.26292047,-0.016098566,-0.038301256,0.003847573,-0.04669252,0.000122506,-0.04696728,-0.0255358,0.026350006,0.011265988,-0.01873295,-0.018542675,-0.046917975,-0.02575234,-0.012620128,-0.052449603,-0.004153461,-0.017320621,,
52 decomposition,-0.028220631,-0.025213735,-0.08197845,-0.0229655,0.2751418,-0.05038343,-0.071677454,-0.006994623,-0.07232964,-0.031438172,-0.057837743,-0.051944695,0.013786423,-0.006476631,-0.04557901,-0.020603158,-0.049016926,-0.03339646,-0.041574046,-0.08096562,-0.024483385,-0.037485253,,
53 whole,-0.011983712,0.002814989,-0.051481284,-0.010947079,0.30419767,-0.035069708,-0.044967297,-0.003293394,-0.034960233,0.018587125,-0.06368217,-0.020607775,0.06340254,0.007490292,-0.015699217,-0.003490908,-0.019568095,-0.021719784,-0.033295404,-0.047408868,-0.001084116,-0.017633656,,
54 part,-0.01949202,-0.007533834,-0.056270752,-0.012008706,0.2847042,-0.039614595,-0.046690065,-0.012072492,-0.043598156,-0.00184461,-0.059999153,-0.024280986,0.058475383,0.009250006,-0.0308813,-0.016466612,-0.039758902,-0.038697273,-0.03489627,-0.050090235,-0.009088319,-0.027581143,,
55 3 completeness,-0.029012013,0.001873491,-0.05971648,-0.008362509,0.2987624,-0.0291179,-0.05680137,0.005465442,-0.049990274,-0.001139063,-0.06805572,-0.025655966,0.06441977,-0.001742398,-0.0235339,-0.006675873,-0.035509136,-0.02666088,-0.03412816,-0.052295625,-0.006893808,-0.026158423,,
56 incompleteness,-0.019279914,-0.005321194,-0.054080002,-0.003429232,0.28928423,-0.01424168,-0.048624016,-0.003723607,-0.04155742,-0.00065351,-0.062817216,-0.026810523,0.063908935,0.006242512,-0.01380499,0.00070285,-0.046206977,-0.045639105,-0.041143686,-0.047914755,-0.005755465,-0.016760797,,
57 composition,-0.003014995,0.011390488,-0.043670747,0.012238666,0.26968768,-0.029338894,-0.03427095,0.015408676,-0.040420875,-0.0205793,-0.055493064,-0.017910391,0.080782175,0.016805246,-0.01067461,-0.000791118,-0.037301823,-0.04365013,-0.019332593,-0.045551613,0.000215591,-0.018621492,,
58 exclusion,-0.001120695,0.009132717,-0.029410886,0.024946017,0.2895909,-0.010792407,-0.036732227,0.02328965,-0.023200547,0.012760052,-0.06487392,0.003258772,0.081976004,0.018765567,-0.00470275,0.005306033,-0.031727504,-0.024346892,-0.000535979,-0.017692402,0.011194475,-0.000828337,,
59 component,-0.023817576,-0.010235794,-0.04877933,-0.005223536,0.26644772,-0.034917187,-0.05075165,-0.002687473,-0.055491436,-0.01553189,-0.07432178,-0.022628462,0.040129524,0.001242669,-0.024328178,-0.047739413,-0.060477853,-0.037507307,-0.020636706,-0.04348516,-0.013537041,-0.024072877,,
60 extraneousness,-0.02038738,0.000266555,-0.05637051,-0.046515,0.25903678,-0.055124465,-0.058984198,-0.046489883,-0.030842286,-0.01658574,-0.09874693,-0.030797271,0.042323604,-0.000530732,-0.017840158,-0.017361661,-0.010162447,-0.03078567,-0.044425696,-0.047377277,-0.016385018,-0.030791471,,
61 order,-0.029880047,-0.014436911,-0.065838695,-0.005400608,0.28145957,-0.042769194,-0.05706556,-0.009809412,-0.064568736,-0.012172654,-0.075334944,-0.047141787,0.036177587,-0.003449937,-0.04201504,-0.027231667,-0.046724796,-0.041451298,-0.03801204,-0.06570768,-0.018568692,-0.039731669,,
62 disorder,-0.010792909,0.000972939,-0.047701444,0.012387838,0.28965563,-0.018929755,-0.04357004,0.00354714,-0.035682227,0.007004633,-0.042110067,-0.010833792,0.055741686,0.008082972,-0.013434911,-0.00824621,-0.028485902,-0.004261776,-0.020202324,-0.025733706,0.003370389,-0.010813351,,
63 complexity,-0.009318538,-0.004270114,-0.027669668,-0.013261213,0.29025632,-0.038464177,-0.05606046,-0.007185623,-0.04215672,-0.016821751,-0.06848834,-0.03471392,0.05968321,0.012754917,-0.03137942,-0.004471294,-0.033641115,0.006953989,-0.04401852,-0.05027074,-0.005627159,-0.02224571,,
64 arrangement,-0.03541879,-0.003487843,-0.0643396,-0.015498929,0.23999241,-0.052413803,-0.061063703,-0.008353566,-0.06590369,-0.021048414,-0.061596032,-0.054748304,0.04508014,-0.004732407,-0.05000268,-0.029959094,-0.047043916,-0.0364395,-0.036233038,-0.06774982,-0.021548029,-0.036336269,,
65 derangement,-0.020599289,0.008180299,-0.05491243,0.018945437,0.28734523,-0.017947037,-0.051804684,0.029095188,-0.035873562,0.002392994,-0.042507544,-0.009475503,0.06563174,0.010422631,-0.018170895,-0.004642937,-0.033583995,-0.007483957,-0.017597968,-0.030029224,0.003869225,-0.013536736,,
66 precedence,0.012082261,0.010214426,-0.036514126,0.000720825,0.29289502,-0.011666733,-0.039478946,-0.000228577,-0.03607603,0.012182433,-0.0745505,-0.026285047,0.10820278,0.007284951,-0.001588533,0.013531785,-0.039545484,-0.017596314,-0.04128774,-0.044395637,0.004395041,-0.006627633,,
67 sequence,0.02392474,0.012400218,-0.014870188,0.012975583,0.3217926,-0.001608995,-0.023401424,0.019053103,-0.0165544,0.02118918,-0.038510177,0.001711882,0.104429886,0.027491681,0.012418343,0.027565096,-0.016332867,4.83E-05,0.003211347,-0.032990716,0.02219716,0.007805783,,
68 precursor,-0.005419667,0.007733099,-0.05375108,-0.03261948,0.29489106,-0.03231342,-0.046816893,-0.022991404,-0.039729495,-0.022431046,-0.06330086,-0.031579193,0.06857525,-0.007167555,-0.020262364,-0.005135498,-0.050992887,-0.028817967,-0.060091846,-0.06193881,-0.010708003,-0.03019858,,
69 sequel,0.012218588,0.008773839,-0.04305569,0.015545062,0.2972714,-0.0244749,-0.008706196,0.007920538,-0.015085114,0.000432014,-0.053595047,0.003311312,0.04547116,0.016404495,-0.005677517,-0.005928405,-0.026212137,-0.017271101,-0.03282735,-0.032152,0.007118148,-0.005802961,,
70 beginning,-0.012873215,0.006715437,-0.05237383,-0.001248439,0.27342856,-0.02328708,-0.03849923,-0.006342345,-0.031877473,0.004930685,-0.041245386,-0.020976184,0.05492115,0.009349437,-0.017396068,-0.003181227,-0.034388866,-0.026073663,-0.030843973,-0.04441849,-0.00178401,-0.019186126,,
71 end,-0.014161696,0.010428426,-0.04988915,0.002392596,0.29116175,-0.023338666,-0.043311626,0.006237471,-0.035187345,-0.00901193,-0.045057267,-0.008158539,0.07647547,0.009357274,-0.008848731,-0.000466039,-0.03330557,-0.016372586,-0.03982437,-0.037735745,0.001569186,-0.011586813,,
72 middle,-0.029983936,0.005423631,-0.05781293,-0.005571927,0.27512705,-0.02638683,-0.056842804,0.002098347,-0.054765496,-4.38E-05,-0.06448099,-0.037617616,0.049477156,0.004733951,-0.027480016,-0.017572688,-0.042105157,-0.009665072,-0.056809388,-0.048360057,-0.009931929,-0.026933423,,
73 continuity,-0.005656262,-0.002050913,-0.035003014,0.004456701,0.29103395,-0.016512461,-0.030175388,0.011566005,-0.032403056,0.007419609,-0.05362306,-0.013722703,0.051203586,0.015957143,-0.015417466,-0.002787653,-0.01804388,-0.011029949,-0.011574117,-0.0421501,0.004574349,-0.011302033,,
74 discontinuity,-0.023764417,-0.004774506,-0.05162931,0.004618188,0.2925403,-0.016420998,-0.056512803,-0.011156627,-0.060198653,-0.006516498,-0.063170694,-0.033209033,0.0488273,0.008258023,-0.023081372,0.004192503,-0.040267516,-0.027421245,-0.026043253,-0.063429445,-0.007458003,-0.023422895,,
75 term,-0.015512552,-0.003865917,-0.0643061,-0.012682197,0.30887985,-0.02685914,-0.06318274,-0.012837732,-0.059914622,-0.017718442,-0.07931172,-0.03764469,0.04755432,-0.002605067,-0.041492987,-0.015604996,-0.054580554,-0.014739275,-0.04711452,-0.068518706,-0.014102889,-0.022288791,,
76 assemblage,-0.011097431,0.020007193,-0.05313671,-0.002575062,0.25321642,-0.042512964,-0.05027328,0.001979574,-0.04280309,0.005228767,-0.037826743,-0.025163118,0.05272385,0.000783393,-0.026216535,-0.01192812,-0.040820763,-0.02354481,-0.028532276,-0.045870114,-0.005418091,-0.024353964,,
77 dispersion,-0.026435848,-0.011031701,-0.061372302,0.001942963,0.28612632,-0.033244293,-0.048455454,0.006427782,-0.04471645,-0.008199999,-0.053796403,-0.03403407,0.059964344,0.012715013,-0.02655085,0.000153551,-0.030663844,-0.027019648,-0.027296254,-0.04405056,-0.005476885,-0.026785249,,
78 focus,-0.062001187,0.003666447,-0.05158336,-0.02775187,,-0.05589042,-0.05838061,-0.007397345,-0.062894166,-0.037572946,-0.09733572,-0.028881298,0.027278874,0.001761641,-0.049198605,-0.04585948,-0.056842886,-0.02843535,-0.052286163,-0.046596475,-0.038747417,-0.046596475,,
79 class,-0.001806476,0.009946999,-0.041082323,0.007011238,0.29030702,-0.03809223,-0.028850442,0.003789532,-0.030213935,0.00783249,-0.042100433,-0.018270481,0.06980875,0.014926154,-0.025380872,-0.016332634,-0.029937368,-0.02569455,-0.0369528,-0.044163752,0.001237194,-0.021825677,,
80 inclusion,-0.006692237,0.01778937,-0.046393108,0.015265547,0.27508986,-0.034619354,-0.028110897,0.031982742,-0.03202619,-0.008140381,-0.074009284,-0.008187592,0.08378249,0.024063889,-0.009009996,0.00199213,-0.030833751,-0.04683148,-0.013031463,-0.036050048,0.003801512,-0.008598794,,
81 exclusion,0.020871878,0.080412924,-0.020253897,0.009086967,,-0.04564047,-0.05837643,0.02593267,-0.053856015,-0.04451275,-0.018013358,-0.014249802,0.13098073,0.027476788,-0.008384705,0.006984115,-0.030695021,-0.003263772,0.000116825,-0.049253106,-0.002349286,-0.008384705,,
82 generality,-0.010879219,0.007684586,-0.04599035,-0.003983014,0.27513024,-0.04075104,-0.05439459,-0.006280315,-0.038116995,0.00192181,-0.0666826,-0.02491157,0.05405669,0.014704388,-0.017735073,0.001306317,-0.024543561,-0.037016403,-0.020096414,-0.05338728,-0.00449822,-0.018915744,,
83 speciality,-0.020760734,-0.002292097,-0.05553391,-0.008805814,0.29819018,-0.017503243,-0.055500407,0.002171444,-0.04865588,-0.009115213,-0.07678421,-0.03663903,0.08156365,0.014377242,-0.01927426,-0.012108314,-0.029397627,-0.034821518,-0.02948673,-0.056488637,-0.005843255,-0.020017497,,
84 normality,-0.014212652,-0.019038647,-0.05744617,-0.002646793,0.2853782,-0.04838758,-0.05862714,-0.003657854,-0.053321525,0.003832555,-0.07424705,-0.036085546,0.05271253,-0.01399872,-0.029721728,-0.010400241,-0.036885545,-0.025677536,-0.03535592,-0.063913316,-0.012085034,-0.027699632,,
85 multiformity,-0.021805912,0.013449231,-0.05507602,0.012566241,0.2756905,-0.040675607,-0.047987923,-0.001791367,-0.050867785,-0.002741252,-0.06496041,-0.030392874,0.046745818,0.021765476,-0.021559991,-0.008460203,-0.034097925,-0.035343707,-0.010723222,-0.05598414,-0.005612554,-0.021682952,,
86 conformity,-0.01667996,-0.017355982,-0.06304339,-0.018883878,0.27970785,-0.043651048,-0.06476416,-0.018152783,-0.07810753,-0.014438625,-0.08619392,-0.05261368,0.0576788,-0.004731687,-0.03936661,-0.012561426,-0.037642818,-0.045630056,-0.04489296,-0.07901909,-0.020017148,-0.038504714,,
87 unconformity,-0.007313499,0.006484998,-0.04838725,-0.006839828,0.30977154,-0.024117671,-0.04995346,-0.00500859,-0.024783311,0.002315182,-0.06972554,-0.022292117,0.056532253,0.009610705,-0.019001743,-0.00539169,-0.01490345,-0.002305304,-0.029765384,-0.047418814,0.000375351,-0.011108475,,
88 number,-0.021730913,-0.014385222,-0.049018726,-0.010758498,0.2895321,-0.04217103,-0.06201456,-0.023482762,-0.064451456,-0.014811633,-0.08509162,-0.046029598,0.05195982,-0.000442776,-0.0522634,-0.019836424,-0.03824603,-0.03469802,-0.042459145,-0.07210849,-0.017625419,-0.036472025,,
