,Afrikaans,Albanian,Arabic,Bengali,Bosnian,Bulgarian,Catalan,Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,Greek,Hebrew,Hindi,Hungarian,Indonesian,Italian,Korean,Latvian,Lithuanian,Norwegian (Bokmål),Polish,Portuguese,Romanian,Russian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Malay,Macedonian,Tamil
Danish,0.490055248,0.25474563,0.552329652,0.094838527,0.150738808,0.495341689,0.463110436,0.587445817,0.237027439,0.540702383,1,0.652999999,0.730991962,0.619199276,0.623938483,0.732716664,0.480321991,0.381916938,0.444213812,0.592187226,0.569956443,0.538059214,0.350426036,0.47609345,0.537307832,0.719179956,0.419853561,0.68144422,0.440112945,0.597348194,0.491791465,0.477611768,0.562717553,0.750767956,0.538833207,0.616445548,0.609950466,0.217299708,0.298365401,0.258083503
Dutch,0.392293033,0.304445805,0.547574762,0.099643563,-0.061527385,0.480655089,0.30667759,0.445474947,0.005090647,0.636553228,0.652999999,1,0.690202858,0.550764527,0.582274593,0.690359954,0.417202743,0.487106202,0.578961524,0.511261897,0.478920457,0.548913216,0.424070804,0.462060424,0.50257961,0.612151137,0.548629945,0.774454328,0.527506062,0.639364747,0.528366288,0.313661979,0.485170151,0.700536634,0.362386783,0.429222845,0.65385458,0.260955206,0.318864425,0.365122027
English,0.49800783,0.220735773,0.612299255,0.071098898,0.098341264,0.50054297,0.423851706,0.614891871,0.18441643,0.492358746,0.730991962,0.690202858,1,0.627475143,0.704559355,0.746698852,0.449590062,0.49786957,0.553147369,0.625541198,0.571028913,0.489663302,0.354974595,0.455900773,0.422950302,0.709216802,0.45983418,0.703878057,0.508518828,0.589095965,0.39281009,0.502900843,0.471883794,0.722228671,0.479580311,0.529686051,0.53462502,0.12536256,0.36707153,0.278968845
Estonian,0.342067232,0.056222172,0.395873687,0.161974025,0.13879358,0.410560587,0.291420314,0.510053873,0.232618303,0.375572286,0.619199276,0.550764527,0.627475143,1,0.534365857,0.608002526,0.4016952,0.429177948,0.389055848,0.474023872,0.513131385,0.321014503,0.430637096,0.358388922,0.447718057,0.548903848,0.407122909,0.574090318,0.451447396,0.62819037,0.272411602,0.424116135,0.330998142,0.540794073,0.402965191,0.431835704,0.596587165,0.211525021,0.192508113,0.17279049
Finnish,0.386152585,0.23842873,0.599452614,0.040894561,0.06318895,0.409029797,0.444901779,0.556881584,0.465259833,0.320135491,0.623938483,0.582274593,0.704559355,0.534365857,1,0.561011303,0.527880176,0.497819737,0.48675548,0.524119342,0.641642305,0.392853178,0.263263117,0.318076309,0.491741889,0.663359429,0.338695051,0.683141351,0.44499211,0.518605993,0.427814742,0.421076794,0.536644351,0.672746185,0.552270312,0.579984534,0.510202108,0.194926606,0.298393221,0.001318684
French,0.45667636,0.222632769,0.502867669,0.120370607,-0.120549906,0.499560919,0.372433329,0.63146853,-0.008306284,0.468830671,0.732716664,0.690359954,0.746698852,0.608002526,0.561011303,1,0.407335495,0.370336261,0.543297568,0.522788408,0.477950835,0.549235268,0.357237402,0.443493405,0.403498351,0.695688592,0.495542126,0.743177352,0.481642888,0.640535923,0.535642373,0.249525826,0.551205962,0.785848025,0.461085578,0.401291668,0.568430976,0.173310948,0.258982539,0.328661907
Greek,0.417224912,0.300906021,0.645542297,0.185340005,0.284232323,0.225934939,0.435882047,0.542091745,0.066488247,0.188883275,0.480321991,0.417202743,0.449590062,0.4016952,0.527880176,0.407335495,1,0.21086845,0.444583073,0.344061654,0.437198523,0.193936844,0.149882693,0.185764194,0.442595823,0.575070487,0.361903987,0.40388769,0.345074992,0.413349748,0.192787148,0.302587159,0.223585577,0.504308084,0.405524998,0.423434587,0.435306109,0.093919022,0.105315598,-0.031234208
Hebrew,0.236792936,0.365859861,0.352663129,0.078853086,-0.067234287,0.076498379,0.377158585,0.222161385,0.552514102,0.45560141,0.381916938,0.487106202,0.49786957,0.429177948,0.497819737,0.370336261,0.21086845,1,0.390884854,0.32820775,0.370080364,0.14656901,0.143459111,0.196721554,0.321066845,0.237286911,0.311680645,0.511159088,0.252588765,0.26517502,0.309118481,0.420775217,0.37122655,0.330443943,0.28129824,0.419466478,0.42485619,0.237954535,0.043311975,-0.028410954
Hindi,0.406086436,0.360991778,0.520955584,0.193023953,0.129165424,0.359783674,0.412553285,0.43338127,0.21263972,0.501279349,0.444213812,0.578961524,0.553147369,0.389055848,0.48675548,0.543297568,0.444583073,0.390884854,1,0.49149057,0.47598217,0.35631758,0.256843442,0.350984265,0.333385955,0.519667736,0.472721229,0.642779632,0.561205065,0.444597659,0.532108889,0.516765939,0.553097604,0.623530086,0.458410653,0.432986124,0.577190549,0.131732754,0.376721618,0.19139182
Hungarian,0.444925001,0.011659106,0.350748197,0.034384964,0.191172009,0.505617395,0.371952837,0.413747004,-0.001605376,0.399748917,0.592187226,0.511261897,0.625541198,0.474023872,0.524119342,0.522788408,0.344061654,0.32820775,0.49149057,1,0.537984647,0.339491196,0.290641967,0.30103711,0.329345079,0.566322936,0.267793176,0.513035208,0.394600096,0.499612293,0.467779647,0.422737317,0.491391617,0.524965553,0.347197441,0.491308883,0.461490217,0.31876335,0.407852367,0.199563024
Indonesian,0.421213065,0.118999341,0.445500047,0.306761724,0.118480805,0.139582839,0.433468781,0.502418633,0.133090764,0.243060023,0.569956443,0.478920457,0.571028913,0.513131385,0.641642305,0.477950835,0.437198523,0.370080364,0.47598217,0.537984647,1,0.202174008,0.207662609,0.359487842,0.507913327,0.596074148,0.362813295,0.559070385,0.473031158,0.416787596,0.31873074,0.399268401,0.506861203,0.620903698,0.349659489,0.574246352,0.511019333,0.059691344,0.392374912,0.050894502
Italian,0.270557902,0.345938412,0.334064416,-0.048832176,-0.080067927,0.336266456,0.469357718,0.301752985,0.161075365,0.45794865,0.538059214,0.548913216,0.489663302,0.321014503,0.392853178,0.549235268,0.193936844,0.14656901,0.35631758,0.339491196,0.202174008,1,0.453804227,0.288397575,0.330694251,0.416517104,0.523857654,0.616867633,0.243135561,0.450806922,0.270787736,0.163050177,0.33253516,0.531098725,0.293264771,0.398993266,0.445445543,0.155032629,0.208172749,0.301780597
Korean,0.150016857,0.220412744,0.179424984,0.245879664,-0.163198076,0.258494349,0.190553237,0.276884978,0.15058721,0.196550492,0.350426036,0.424070804,0.354974595,0.430637096,0.263263117,0.357237402,0.149882693,0.143459111,0.256843442,0.290641967,0.207662609,0.453804227,1,0.257809033,0.173444411,0.292612432,0.234940713,0.370025343,0.233193368,0.335755428,0.103413409,0.114550368,0.02917184,0.306857906,0.452353268,0.398261398,0.245110338,0.26831921,0.179467199,0.34954648
Latvian,0.32385868,0.074752924,0.100437522,0.14640803,0.065823669,0.419822899,0.065077404,0.363590226,-0.035723571,0.18970829,0.47609345,0.462060424,0.455900773,0.358388922,0.318076309,0.443493405,0.185764194,0.196721554,0.350984265,0.30103711,0.359487842,0.288397575,0.257809033,1,0.495285716,0.442439364,0.263828681,0.37832676,0.3448876,0.585723029,0.348146754,0.091582985,0.192651831,0.500728967,0.367761225,0.317937596,0.515059748,-0.028862986,0.160200114,0.28608695
Lithuanian,0.242146353,0.19849436,0.38544161,0.245964319,0.33291217,0.13223689,0.430035666,0.422885864,0.291108653,0.132138576,0.537307832,0.50257961,0.422950302,0.447718057,0.491741889,0.403498351,0.442595823,0.321066845,0.333385955,0.329345079,0.507913327,0.330694251,0.173444411,0.495285716,1,0.550230558,0.369458807,0.352731489,0.152540708,0.59014725,0.410381312,0.338168706,0.196893344,0.558889256,0.499548236,0.462980045,0.513104616,0.121174026,0.026553048,0.00125215
Norwegian (Bokmål),0.509044586,0.270086702,0.605257959,0.112303533,-0.022973044,0.442484506,0.448688494,0.649597043,0.141785958,0.370696394,0.719179956,0.612151137,0.709216802,0.548903848,0.663359429,0.695688592,0.575070487,0.237286911,0.519667736,0.566322936,0.596074148,0.416517104,0.292612432,0.442439364,0.550230558,1,0.503315895,0.589204257,0.427894516,0.696305638,0.47167813,0.317367919,0.476623178,0.730109555,0.452112671,0.552664185,0.587943786,0.202396567,0.464228805,0.142814714
Polish,0.345167391,0.324030411,0.38109568,0.153123485,-0.076855853,0.27625276,0.365040615,0.336100678,-0.133331594,0.377156526,0.419853561,0.548629945,0.45983418,0.407122909,0.338695051,0.495542126,0.361903987,0.311680645,0.472721229,0.267793176,0.362813295,0.523857654,0.234940713,0.263828681,0.369458807,0.503315895,1,0.624622559,0.092541436,0.61853455,0.285814145,0.053815819,0.323517231,0.407056244,0.364066371,0.44334285,0.550497028,0.193638299,0.269050399,0.224364763
Portuguese,0.465435455,0.327068864,0.511594022,0.133374665,-0.186287253,0.513099257,0.445503466,0.526367553,0.332751634,0.644705976,0.68144422,0.774454328,0.703878057,0.574090318,0.683141351,0.743177352,0.40388769,0.511159088,0.642779632,0.513035208,0.559070385,0.616867633,0.370025343,0.37832676,0.352731489,0.589204257,0.624622559,1,0.56923601,0.615791502,0.500615264,0.390648931,0.760298883,0.680837557,0.5361044,0.482920292,0.618469595,0.120855723,0.341425665,0.291883979
Romanian,0.45235048,0.124685952,0.330506137,0.085604403,0.144127278,0.431351535,0.242470981,0.467516376,0.279045824,0.398149672,0.440112945,0.527506062,0.508518828,0.451447396,0.44499211,0.481642888,0.345074992,0.252588765,0.561205065,0.394600096,0.473031158,0.243135561,0.233193368,0.3448876,0.152540708,0.427894516,0.092541436,0.56923601,1,0.32800843,0.533076177,0.421588234,0.315764973,0.504413823,0.521516317,0.401430037,0.423207681,-0.15404709,0.311567979,0.342416355
Russian,0.30327309,0.208141509,0.354310296,0.048907557,0.152982002,0.602694232,0.267542454,0.466410304,-0.194789618,0.460429472,0.597348194,0.639364747,0.589095965,0.62819037,0.518605993,0.640535923,0.413349748,0.26517502,0.444597659,0.499612293,0.416787596,0.450806922,0.335755428,0.585723029,0.59014725,0.696305638,0.61853455,0.615791502,0.32800843,1,0.445658319,0.238067438,0.275615286,0.567683768,0.398628624,0.52374345,0.695635649,0.283470424,0.090737315,0.274465405
Slovak,0.307879583,0.138143687,0.199926996,-0.020076302,-0.091042394,0.431043773,0.224449573,0.306606461,0.295302746,0.528770345,0.491791465,0.528366288,0.39281009,0.272411602,0.427814742,0.535642373,0.192787148,0.309118481,0.532108889,0.467779647,0.31873074,0.270787736,0.103413409,0.348146754,0.410381312,0.47167813,0.285814145,0.500615264,0.533076177,0.445658319,1,0.280433703,0.371229922,0.447495614,0.413436927,0.177903262,0.438281336,-0.03548155,0.183582964,0.12918501
Slovenian,0.256160576,0.178366745,0.380481853,-0.030284115,0.306746238,0.283919217,0.543623104,0.242839167,0.375966903,0.46161707,0.477611768,0.313661979,0.502900843,0.424116135,0.421076794,0.249525826,0.302587159,0.420775217,0.516765939,0.422737317,0.399268401,0.163050177,0.114550368,0.091582985,0.338168706,0.317367919,0.053815819,0.390648931,0.421588234,0.238067438,0.280433703,1,0.271628508,0.453910713,0.163268095,0.423036176,0.368322729,0.070256048,0.262636525,0.096557808
Spanish,0.375501738,0.328438189,0.340864751,-0.007345171,-0.223508672,0.35314477,0.377402802,0.398539042,0.208561258,0.320184044,0.562717553,0.485170151,0.471883794,0.330998142,0.536644351,0.551205962,0.223585577,0.37122655,0.553097604,0.491391617,0.506861203,0.33253516,0.02917184,0.192651831,0.196893344,0.476623178,0.323517231,0.760298883,0.315764973,0.275615286,0.371229922,0.271628508,1,0.507501488,0.35652474,0.39869756,0.427199564,0.176713906,0.310136572,-0.076116663
Swedish,0.500745556,0.2644499,0.532721846,0.060935063,0.047792861,0.401498182,0.41727854,0.613138506,0.39363563,0.539086069,0.750767956,0.700536634,0.722228671,0.540794073,0.672746185,0.785848025,0.504308084,0.330443943,0.623530086,0.524965553,0.620903698,0.531098725,0.306857906,0.500728967,0.558889256,0.730109555,0.407056244,0.680837557,0.504413823,0.567683768,0.447495614,0.453910713,0.507501488,1,0.459215544,0.56087504,0.595932057,0.234319443,0.339504272,0.135505155
Thai,0.340311298,0.121615974,0.316833038,0.080523921,0.278374805,0.299368829,0.35868988,0.447361078,0.619982027,0.377731303,0.538833207,0.362386783,0.479580311,0.402965191,0.552270312,0.461085578,0.405524998,0.28129824,0.458410653,0.347197441,0.349659489,0.293264771,0.452353268,0.367761225,0.499548236,0.452112671,0.364066371,0.5361044,0.521516317,0.398628624,0.413436927,0.163268095,0.35652474,0.459215544,1,0.543386821,0.343291256,0.190436695,0.157609274,0.397588039
Turkish,0.470275782,0.313497657,0.462620507,-0.110438173,0.105269413,0.186026939,0.523812979,0.447286923,0.185578742,0.216411887,0.616445548,0.429222845,0.529686051,0.431835704,0.579984534,0.401291668,0.423434587,0.419466478,0.432986124,0.491308883,0.574246352,0.398993266,0.398261398,0.317937596,0.462980045,0.552664185,0.44334285,0.482920292,0.401430037,0.52374345,0.177903262,0.423036176,0.39869756,0.56087504,0.543386821,1,0.518793753,0.298675491,0.32101601,0.110302517
Ukrainian,0.433218599,0.219937528,0.553023473,0.002275923,0.093517813,0.461773917,0.346250224,0.499015858,-0.179637951,0.442149823,0.609950466,0.65385458,0.53462502,0.596587165,0.510202108,0.568430976,0.435306109,0.42485619,0.577190549,0.461490217,0.511019333,0.445445543,0.245110338,0.515059748,0.513104616,0.587943786,0.550497028,0.618469595,0.423207681,0.695635649,0.438281336,0.368322729,0.427199564,0.595932057,0.343291256,0.518793753,1,0.038965087,0.281674709,0.296975082
Malay,-0.087203828,0.091857044,0.218433448,-0.025736836,0.0733965,0.089132262,0.205964784,0.205368893,0.349978909,0.045214739,0.217299708,0.260955206,0.12536256,0.211525021,0.194926606,0.173310948,0.093919022,0.237954535,0.131732754,0.31876335,0.059691344,0.155032629,0.26831921,-0.028862986,0.121174026,0.202396567,0.193638299,0.120855723,-0.15404709,0.283470424,-0.03548155,0.070256048,0.176713906,0.234319443,0.190436695,0.298675491,0.038965087,1,0.192179101,-0.169905469
Macedonian,0.266506648,0.029911268,0.138165352,-0.094551785,0.045658743,0.236735954,0.242688684,0.278525146,-0.037388644,0.266560675,0.298365401,0.318864425,0.36707153,0.192508113,0.298393221,0.258982539,0.105315598,0.043311975,0.376721618,0.407852367,0.392374912,0.208172749,0.179467199,0.160200114,0.026553048,0.464228805,0.269050399,0.341425665,0.311567979,0.090737315,0.183582964,0.262636525,0.310136572,0.339504272,0.157609274,0.32101601,0.281674709,0.192179101,1,0.231522954
Tamil,0.26601935,-0.305517534,-0.204537882,0.086519206,-0.252100687,0.165231718,-0.133937206,0.022433471,-0.137727475,0.280917505,0.258083503,0.365122027,0.278968845,0.17279049,0.001318684,0.328661907,-0.031234208,-0.028410954,0.19139182,0.199563024,0.050894502,0.301780597,0.34954648,0.28608695,0.00125215,0.142814714,0.224364763,0.291883979,0.342416355,0.274465405,0.12918501,0.096557808,-0.076116663,0.135505155,0.397588039,0.110302517,0.296975082,-0.169905469,0.231522954,1
